,network,lesion_score
0,Vis,0.21014974235829315
1,SomMot,0.21467262843900312
2,DorsAttn,0.1731556391442634
3,SalVent,0.2246186782333231
4,Limbic,0.2334806843890375
5,Cont,0.2206136350551023
6,Default,0.2393551061551252
